NOM_METRO,LINIES_METRO,NOM_RENFE,LINIES_RENFE,NOM_FGC,LINIES_FGC,NOM_TRAM,LINIES_TRAM,
,,,,Can Ros,S3S4S8S9R5R6,,,
,,,,Capellades,R6R60,,,
,,,,Castellbell i el Vilar,R5R50,,,
,,,,Cellers-Llimiana,RL2,,,
,,,,Colònia Güell,S3S4S8S9,,,
,,,,Cornellà-Riera,L8S3S4S8S9R5R50R6R60,,,
,,,,La Creu Alta,S2,,,
,,,,La Floresta,S1S2,,,
,,,,Les Fonts,S1,,,
,,,,Gerb,RL2,,,
,,,,Gràcia,L6L7S1S2,,,
,,,,Guàrdia de Tremp,RL2,,,
,,,,Hospital General,S1,,,
,,,,Igualada,R6R60,,,
,,,,Magòria - la Campana,L8S3S4S8S9R5R50R6R60,,,
,,,,Manresa-Alta,R5R50,,,
,,,,Manresa-Baixador,R5R50,,,
,,,,Manresa-Viladordis,R5R50,,,
,,,,Martorell-Enllaç,S4S8R5R6,,,
,,,,Martorell Vila | Castellbisbal,S4S8,,,
,,,,Masquefa,R6R60,,,
,,,,Mira-sol,S1,,,
,,,,Molí Nou | Ciutat Cooperativa,L8S3S4S8S9R5R50R6R60,,,
,,,,Monistrol de Montserrat,R5R50,,,
,,,,Muntaner,L6S1S2,,,
,,,,Olesa de Montserrat,S4R5R50,,,
,,,,Pàdua,L7,,,
,,,,El Palau,S4S8L5L6,,,
,,,,Palau de Noguera,RL2,,,
,,,,Pallejà,S4S8R5R6,,,
,,,,Peu del Funicular,S1S2,,,
,,,,Piera,R6R60,,,
,,,,Pl. Molina,L6L7S1S2,   ,,
,,,,Les Planes,S1S2,,,
,,,,La Pobla de Claramunt,R6R60,,,
,,,,La Pobla de Segur,RL2,,,
,,,,El Putxet,L7,,,
,,,,Quatre Camins,S4S8S9R5R6,,,
,,,,Estació de Reina Elisenda,L12,,,
,,,,Rubí,S1,,,
,,,,Sabadell Parc del Nord,S2,,,
,,,,Sabadell Plaça Major,S2,,,
,,,,Salàs de Pallars,S2,,,
,,,,Sant Andreu de la Barca,S4S8R5R6,,,
,,,,Sant Boi,L8S3S4S8S9R5R50R6R60,,,
,,,,Sant Cugat Centre,S1S2,,,
,,,,Sant Esteve Sesrovires,R6R60,,,
,,,,Sant Gervasi,L6L7S1S2,,,
,,,,Sant Joan,S2,,,
,,,,Sant Josep,L8S3S4S8S9R5R50R6R60,,,
,,,,Sant Llorenç de Montgai,RL2,,,
,,,,Sant Quirze,S2,,,
,,,,Sant Vicenç dels Horts,S3S4S8S9R5R50R6R60,,,
,,,,Santa Coloma de Cervelló,S3S4S8R6R60,,,
,,,,Santa Linya,RL2,,,
,,,,Sarrià,L6L12S1S2,,,
,,,,Térmens,RL1RL2,,,
,,,,Terrassa Nacions Unides,S1,,,
,,,,Terrassa-Rambla,S1,,,
,,,,Tremp,RL2,,,
,,,,Les Tres Torres,L6S1S2,,,
,,,,Universitat Autònoma,S2,,,
,,,,Vallbona d'Anoia,R6R60,,,
,,,,Valldoreix,S1S2,,,
